IPT0288,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH24247AUR,Virtual,Linux,Linux CentOS,64,7 (64-bit),PRD
IPT0330,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH24247AUR,Virtual,Linux,Linux CentOS,64,4/5 or later (64-bit),PRD
IPT0353,IPT,Infrastructure,ALF,SUPPLIER A,B200 M5,FCH24247AUR,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0356,IPT,Infrastructure,ALF,SUPPLIER A,B200 M5,FCH24247ATN,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0357,IPT,Infrastructure,ALF,SUPPLIER A,B200 M5,FCH24247AS7,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0295,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH24247AQW,Virtual,Linux,Linux CentOS,64,4/5 or later (64-bit),PRD
IPT0299,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH24247AQW,Virtual,Linux,Linux CentOS,64,4/5 or later (64-bit),PRD
IPT0344,IPT,Infrastructure,NCI,SUPPLIER A,B200 M5,FCH24247AQW,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0253,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH240371BS,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0296,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH240371BS,Virtual,Linux,Linux CentOS,64,4/5 or later (64-bit),PRD
IPT0298,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH240371BS,Virtual,Linux,Linux CentOS,64,4/5 or later (64-bit),PRD
IPT0334,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH240371BS,Virtual,Windows,Windows 2019,64,2019 (64-bit),PRD
IPT0335,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH240371BS,Virtual,Windows,Windows 2019,64,2019 (64-bit),PRD
IPT0348,IPT,Infrastructure,NCI,SUPPLIER A,B200 M5,FCH240371BS,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0264,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230571K2,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0282,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230571K2,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0286,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230571K2,Virtual,Linux,Linux CentOS,64,7 (64-bit),PRD
IPT0324,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH23057134,Virtual,Windows,Windows 2019,64,2019 (64-bit),QUA
IPT0341,IPT,Infrastructure,NCI,SUPPLIER A,B200 M5,FCH23057134,Virtual,VMWare,VMWARE ESXI SERVER,64, 6.5,PRD
IPT0257,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH2305712W,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0275,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M5,FCH2305712W,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0279,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570ZL,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0304,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570ZL,Virtual,Linux,Linux,64,unknown,PRD
IPT0338,IPT,Infrastructure,ALF,SUPPLIER A,UCSB-B200-M5,FCH230570ZL,Virtual,Linux,Linux RHEL 7,64,7.8,PRD
